Sample in Buffer	Sample in Window	tx_frame	tx_data_i1_d	tx_data_q1_d	tx_data_p	tx_data_n	dac_data_q1	dac_data_i1	rx_data_i_r1	rx_data_q_r1	rx_error_r1	rx_frame_s	adc_valid	dac_valid	adc_data_i1	adc_data_q1	rx_data_d	rx_data	rx_error_r1
0	0	0	4402	1337	64	53	1337	4402	3777	50	0	0011	0	0	3631	7556	7750	3675	0	
1	1	1	4402	1337	44	13	1753	2064	3777	50	0	1100	1	1	3777	50	3675	3061	0	
2	2	0	2064	1753	2	37	1753	2064	3630	7561	0	0011	0	0	3777	50	3061	3700	0	
3	3	1	2064	1753	20	17	1337	4402	3630	7561	0	1100	1	1	3630	7561	3700	7760	0	
4	4	0	4402	1337	64	53	1337	4402	3777	60	0	0011	0	0	3630	7561	7760	3675	0	
5	5	1	4402	1337	44	13	1753	2064	3777	60	0	1100	1	1	3777	60	3675	2350	0	
6	6	0	2064	1753	2	37	1753	2064	3623	7550	0	0011	0	0	3777	60	2350	3700	0	
7	7	1	2064	1753	20	17	1337	4402	3623	7550	0	1100	1	1	3623	7550	3700	7760	0	
8	8	0	4402	1337	64	53	1337	4402	3777	60	0	0011	0	0	3623	7550	7760	3675	0	
9	9	1	4402	1337	44	13	1753	2064	3777	60	0	1100	1	1	3777	60	3675	2552	0	
10	10	0	2064	1753	2	37	1753	2064	3625	7552	0	0011	0	0	3777	60	2552	3700	0	
11	11	1	2064	1753	20	17	1337	4402	3625	7552	0	1100	1	1	3625	7552	3700	7750	0	
12	12	0	4402	1337	64	53	1337	4402	3777	50	0	0011	0	0	3625	7552	7750	3675	0	
13	13	1	4402	1337	44	13	1753	2064	3777	50	0	1100	1	1	3777	50	3675	2353	0	
14	14	0	2064	1753	2	37	1753	2064	3623	7553	0	0011	0	0	3777	50	2353	3700	0	
15	15	1	2064	1753	20	17	1337	4402	3623	7553	0	1100	1	1	3623	7553	3700	7743	0	
16	16	0	4402	1337	64	53	1337	4402	3777	43	0	0011	0	0	3623	7553	7743	3675	0	
17	17	1	4402	1337	44	13	1753	2064	3777	43	0	1100	1	1	3777	43	3675	1747	0	
18	18	0	2064	1753	2	37	1753	2064	3617	7547	0	0011	0	0	3777	43	1747	3700	0	
19	19	1	2064	1753	20	17	1337	4402	3617	7547	0	1100	1	1	3617	7547	3700	7736	0	
20	20	0	4402	1337	64	53	1337	4402	3777	36	0	0011	0	0	3617	7547	7736	3675	0	
21	21	1	4402	1337	44	13	1753	2064	3777	36	0	1100	1	1	3777	36	3675	2160	0	
22	22	0	2064	1753	2	37	1753	2064	3621	7560	0	0011	0	0	3777	36	2160	3700	0	
23	23	1	2064	1753	20	17	1337	4402	3621	7560	0	1100	1	1	3621	7560	3700	7731	0	
24	24	0	4402	1337	64	53	1337	4402	3777	31	0	0011	0	0	3621	7560	7731	3675	0	
25	25	1	4402	1337	44	13	1753	2064	3777	31	0	1100	1	1	3777	31	3675	2257	0	
26	26	0	2064	1753	2	37	1753	2064	3622	7557	0	0011	0	0	3777	31	2257	3700	0	
27	27	1	2064	1753	20	17	1337	4402	3622	7557	0	1100	1	1	3622	7557	3700	7735	0	
28	28	0	4402	1337	64	53	1337	4402	3777	35	0	0011	0	0	3622	7557	7735	3675	0	
29	29	1	4402	1337	44	13	1753	2064	3777	35	0	1100	1	1	3777	35	3675	2155	0	
30	30	0	2064	1753	2	37	1753	2064	3621	7555	0	0011	0	0	3777	35	2155	3700	0	
31	31	1	2064	1753	20	17	1337	4402	3621	7555	0	1100	1	1	3621	7555	3700	7741	0	
