Sample in Buffer	Sample in Window	dac_data_i1	dac_data_q1	tx_data_i1_d	tx_data_q1_d	tx_data_p	tx_data_n	adc_data_i1	adc_data_q1	rx_data_i_r1	rx_data_q_r1	rx_frame_s	rx_data	rx_error_r1	adc_valid	dac_valid	rx_data_d	rx_frame_ibuf_s	delay_clk	tx_frame	clk	rx_error_r1
0	0	-2048	2047	4000	3777	0	77	436	-418	650	7142	0011	671	0	0	0	5042	0	0	0	0	0	
1	1	-2048	2047	4000	3777	40	37	424	-414	650	7142	1100	6444	0	1	1	671	0	0	1	0	0	
2	2	-2048	2047	4000	3777	0	77	424	-414	664	7144	0011	671	0	0	0	6444	0	0	0	0	0	
3	3	-2048	2047	4000	3777	40	37	436	-412	664	7144	1100	4252	0	1	1	671	0	0	1	0	0	
4	4	-2048	2047	4000	3777	0	77	436	-412	642	7152	0011	671	0	0	0	4252	0	0	0	0	0	
5	5	-2048	2047	4000	3777	40	37	418	-406	642	7152	1100	4443	0	1	1	671	0	0	1	0	0	
6	6	-2048	2047	4000	3777	0	77	418	-406	644	7143	0011	274	0	0	0	4443	0	0	0	0	0	
7	7	2047	2047	4000	3777	40	37	420	-413	644	7143	1100	2265	0	1	1	274	0	0	1	0	0	
8	8	2047	2047	3777	3777	0	77	420	-413	222	7465	0011	7205	0	0	0	2265	0	0	0	0	0	
9	9	2047	2047	3777	3777	37	37	146	-203	222	7465	1100	205	0	1	1	7205	0	0	1	0	0	
10	10	2047	2047	3777	3777	77	77	146	-203	7202	505	0011	7007	0	0	0	205	0	0	0	0	0	
11	11	2047	2047	3777	3777	37	37	-382	325	7202	505	1100	1646	0	1	1	7007	0	0	1	0	0	
12	12	2047	2047	3777	3777	77	77	-382	325	7016	746	0011	7106	0	0	0	1646	0	0	0	0	0	
13	13	2047	2047	3777	3777	37	37	-498	486	7016	746	1100	4627	0	1	1	7106	0	0	1	0	0	
14	14	2047	2047	3777	3777	77	77	-498	486	7146	627	0011	7106	0	0	0	4627	0	0	0	0	0	
15	15	2047	2047	3777	3777	37	37	-410	407	7146	627	1100	751	0	1	1	7106	0	0	1	0	0	
16	16	2047	2047	3777	3777	77	77	-410	407	7107	651	0011	7106	0	0	0	751	0	0	0	0	0	
17	17	2047	2047	3777	3777	37	37	-441	425	7107	651	1100	550	0	1	1	7106	0	0	1	0	0	
18	18	2047	2047	3777	3777	77	77	-441	425	7105	650	0011	7106	0	0	0	550	0	0	0	0	0	
19	19	2047	2047	3777	3777	37	37	-443	424	7105	650	1100	1657	0	1	1	7106	0	0	1	0	0	
20	20	2047	2047	3777	3777	77	77	-443	424	7116	657	0011	7106	0	0	0	1657	0	0	0	0	0	
21	21	2047	2047	3777	3777	37	37	-434	431	7116	657	1100	1731	0	1	1	7106	0	0	1	0	0	
22	22	2047	2047	3777	3777	77	77	-434	431	7117	631	0011	7106	0	0	0	1731	0	0	0	0	0	
