Sample in Buffer	Sample in Window	dac_data_q1	dac_data_i1	rx_frame_s	adc_valid	adc_data_q1	adc_data_i1	rx_data_i2_r2	rx_data_q1_r2	rx_data_i1_r2	rx_data_d	rx_data
0	0	3517	844	9	0	282	A41	2210	0	000	83	632	
1	1	3517	844	6	0	282	A41	2210	0	000	632	127	
2	2	3701	944	9	0	282	A41	2210	0	000	127	-1094	
3	3	3701	944	6	0	282	A41	2210	0	000	3002	105	
4	4	3901	1005	9	0	282	A41	2210	0	000	105	-1860	
5	5	3901	1005	6	0	282	A41	2210	0	000	2236	74	
6	6	13	1023	9	0	282	A41	2210	0	000	74	445	
7	7	13	1023	6	0	282	A41	2210	0	000	445	63	
8	8	221	999	9	0	282	A41	2210	0	000	63	-64	
9	9	221	999	6	0	282	A41	2210	0	000	4032	84	
10	10	419	934	9	0	282	A41	2210	0	000	84	962	
11	11	419	934	6	0	282	A41	2210	0	000	962	70	
12	12	600	829	9	0	282	A41	2210	0	000	70	517	
13	13	600	829	6	0	282	A41	2210	0	000	517	27	
14	14	756	690	9	0	282	A41	2210	0	000	27	74	
15	15	756	690	6	0	282	A41	2210	0	000	74	-209	
16	16	880	522	9	0	282	A41	2210	0	000	3887	-1397	
17	17	880	522	6	0	282	A41	2210	0	000	2699	-188	
18	18	968	332	9	0	282	A41	2210	0	000	3908	1863	
19	19	968	332	6	0	282	A41	2210	0	000	1863	107	
20	20	1015	128	9	0	282	A41	2210	0	000	107	71	
21	21	1015	128	6	0	282	A41	2210	0	000	71	92	
22	22	1020	4015	9	0	282	A41	2210	0	000	92	-438	
23	23	1020	4015	6	0	282	A41	2210	0	000	3658	-62	
24	24	983	3810	9	0	282	A41	2210	0	000	4034	-1397	
25	25	983	3810	6	0	282	A41	2210	0	000	2699	-167	
26	26	904	3616	9	0	282	A41	2210	0	000	3929	-377	
27	27	904	3616	6	0	282	A41	2210	0	000	3719	62	
28	28	788	3442	9	0	282	A41	2210	0	000	62	1606	
29	29	788	3442	6	0	282	A41	2210	0	000	1606	65	
30	30	639	3296	9	0	282	A41	2210	0	000	65	-1083	
31	31	639	3296	6	0	282	A41	2210	0	000	3013	83	
32	32	463	3183	9	0	282	A41	2210	0	000	83	581	
33	33	463	3183	6	0	282	A41	2210	0	000	581	-45	
34	34	268	3107	9	0	282	A41	2210	0	000	4051	-953	
35	35	268	3107	6	0	282	A41	2210	0	000	3143	-242	
36	36	62	3073	9	0	282	A41	2210	0	000	3854	644	
37	37	62	3073	6	0	282	A41	2210	0	000	644	-246	
38	38	3949	3082	9	0	282	A41	2210	0	000	3850	-1731	
39	39	3949	3082	6	0	282	A41	2210	0	000	2365	59	
40	40	3746	3133	9	0	282	A41	2210	0	000	59	-325	
41	41	3746	3133	6	0	282	A41	2210	0	000	3771	177	
42	42	3558	3224	9	0	282	A41	2210	0	000	177	762	
43	43	3558	3224	6	0	282	A41	2210	0	000	762	102	
44	44	3392	3351	9	0	282	A41	2210	0	000	102	1016	
45	45	3392	3351	6	0	282	A41	2210	0	000	1016	88	
46	46	3256	3510	9	0	282	A41	2210	0	000	88	311	
47	47	3256	3510	6	0	282	A41	2210	0	000	311	79	
48	48	3154	3692	9	0	282	A41	2210	0	000	79	1206	
49	49	3154	3692	6	0	282	A41	2210	0	000	1206	0	
50	50	3092	3892	9	0	282	A41	2210	0	000	0	-331	
51	51	3092	3892	6	0	282	A41	2210	0	000	3765	14	
52	52	3072	4	9	0	282	A41	2210	0	000	14	-1035	
53	53	3072	4	6	0	282	A41	2210	0	000	3061	71	
54	54	3094	212	9	0	282	A41	2210	0	000	71	181	
55	55	3094	212	6	0	282	A41	2210	0	000	181	102	
56	56	3158	411	9	0	282	A41	2210	0	000	102	-1866	
57	57	3158	411	6	0	282	A41	2210	0	000	2230	65	
58	58	3261	593	9	0	282	A41	2210	0	000	65	1526	
59	59	3261	593	6	0	282	A41	2210	0	000	1526	16	
60	60	3399	750	9	0	282	A41	2210	0	000	16	-201	
61	61	3399	750	6	0	282	A41	2210	0	000	3895	30	
62	62	3565	876	9	0	282	A41	2210	0	000	30	-264	
63	63	3565	876	6	0	282	A41	2210	0	000	3832	123	
64	64	3754	965	9	0	282	A41	2210	0	000	123	122	
65	65	3754	965	6	0	282	A41	2210	0	000	122	105	
66	66	3958	1014	9	0	282	A41	2210	0	000	105	380	
67	67	3958	1014	6	0	282	A41	2210	0	000	380	99	
68	68	71	1021	9	0	282	A41	2210	0	000	99	638	
69	69	71	1021	6	0	282	A41	2210	0	000	638	110	
70	70	276	985	9	0	282	A41	2210	0	000	110	384	
71	71	276	985	6	0	282	A41	2210	0	000	384	114	
72	72	471	908	9	0	282	A41	2210	0	000	114	578	
73	73	471	908	6	0	282	A41	2210	0	000	578	115	
74	74	646	794	9	0	282	A41	2210	0	000	115	-1978	
75	75	646	794	6	0	282	A41	2210	0	000	2118	20	
76	76	794	646	9	0	282	A41	2210	0	000	20	1355	
77	77	794	646	6	0	282	A41	2210	0	000	1355	-250	
78	78	908	471	9	0	282	A41	2210	0	000	3846	-692	
79	79	908	471	6	0	282	A41	2210	0	000	3404	-210	
80	80	985	277	9	0	282	A41	2210	0	000	3886	588	
81	81	985	277	6	0	282	A41	2210	0	000	588	-217	
82	82	1021	71	9	0	282	A41	2210	0	000	3879	-1587	
83	83	1021	71	6	0	282	A41	2210	0	000	2509	-251	
84	84	1014	3958	9	0	282	A41	2210	0	000	3845	1291	
85	85	1014	3958	6	0	282	A41	2210	0	000	1291	-166	
86	86	965	3755	9	0	282	A41	2210	0	000	3930	-1335	
87	87	965	3755	6	0	282	A41	2210	0	000	2761	-12	
88	88	876	3566	9	0	282	A41	2210	0	000	4084	1289	
89	89	876	3566	6	0	282	A41	2210	0	000	1289	-67	
90	90	750	3399	9	0	282	A41	2210	0	000	4029	1416	
91	91	750	3399	6	0	282	A41	2210	0	000	1416	-91	
92	92	593	3261	9	0	282	A41	2210	0	000	4005	-1527	
93	93	593	3261	6	0	282	A41	2210	0	000	2569	-182	
94	94	411	3158	9	0	282	A41	2210	0	000	3914	265	
95	95	411	3158	6	0	282	A41	2210	0	000	265	-300	
96	96	212	3094	9	0	282	A41	2210	0	000	3796	1093	
97	97	212	3094	6	0	282	A41	2210	0	000	1093	-171	
98	98	4	3072	9	0	282	A41	2210	0	000	3925	-1153	
99	99	4	3072	6	0	282	A41	2210	0	000	2943	31	
100	100	3892	3092	9	0	282	A41	2210	0	000	31	-1540	
101	101	3892	3092	6	0	282	A41	2210	0	000	2556	110	
102	102	3693	3154	9	0	282	A41	2210	0	000	110	1787	
103	103	3693	3154	6	0	282	A41	2210	0	000	1787	37	
104	104	3510	3256	9	0	282	A41	2210	0	000	37	-391	
105	105	3510	3256	6	0	282	A41	2210	0	000	3705	117	
106	106	3352	3392	9	0	282	A41	2210	0	000	117	1783	
107	107	3352	3392	6	0	282	A41	2210	0	000	1783	59	
108	108	3224	3558	9	0	282	A41	2210	0	000	59	-138	
109	109	3224	3558	6	0	282	A41	2210	0	000	3958	105	
110	110	3133	3746	9	0	282	A41	2210	0	000	105	566	
111	111	3133	3746	6	0	282	A41	2210	0	000	566	71	
112	112	3082	3949	9	0	282	A41	2210	0	000	71	1397	
113	113	3082	3949	6	0	282	A41	2210	0	000	1397	72	
114	114	3073	61	9	0	282	A41	2210	0	000	72	180	
115	115	3073	61	6	0	282	A41	2210	0	000	180	62	
116	116	3107	268	9	0	282	A41	2210	0	000	62	-843	
117	117	3107	268	6	0	282	A41	2210	0	000	3253	86	
118	118	3182	463	9	0	282	A41	2210	0	000	86	245	
119	119	3182	463	6	0	282	A41	2210	0	000	245	124	
120	120	3295	639	9	0	282	A41	2210	0	000	124	-1802	
121	121	3295	639	6	0	282	A41	2210	0	000	2294	48	
122	122	3442	788	9	0	282	A41	2210	0	000	48	-73	
123	123	3442	788	6	0	282	A41	2210	0	000	4023	106	
124	124	3616	904	9	0	282	A41	2210	0	000	106	121	
125	125	3616	904	6	0	282	A41	2210	0	000	121	95	
126	126	3809	983	9	0	282	A41	2210	0	000	95	315	
127	127	3809	983	6	0	282	A41	2210	0	000	315	65	
128	128	4015	1020	9	0	282	A41	2210	0	000	65	894	
129	129	4015	1020	6	0	282	A41	2210	0	000	894	-1	
130	130	128	1015	9	0	282	A41	2210	0	000	4095	-1726	
131	131	128	1015	6	0	282	A41	2210	0	000	2370	-133	
132	132	332	968	9	0	282	A41	2210	0	000	3963	-1853	
133	133	332	968	6	0	282	A41	2210	0	000	2243	-96	
134	134	521	881	9	0	282	A41	2210	0	000	4000	-505	
135	135	521	881	6	0	282	A41	2210	0	000	3591	-148	
136	136	689	756	9	0	282	A41	2210	0	000	3948	1418	
137	137	689	756	6	0	282	A41	2210	0	000	1418	-257	
138	138	829	600	9	0	282	A41	2210	0	000	3839	-503	
139	139	829	600	6	0	282	A41	2210	0	000	3593	-133	
140	140	933	419	9	0	282	A41	2210	0	000	3963	-1273	
141	141	933	419	6	0	282	A41	2210	0	000	2823	105	
142	142	999	221	9	0	282	A41	2210	0	000	105	839	
143	143	999	221	6	0	282	A41	2210	0	000	839	161	
144	144	1023	13	9	0	282	A41	2210	0	000	161	9	
145	145	1023	13	6	0	282	A41	2210	0	000	9	-9	
146	146	1005	3901	9	0	282	A41	2210	0	000	4087	-2037	
147	147	1005	3901	6	0	282	A41	2210	0	000	2059	-92	
