Sample in Buffer	Sample in Window	DataPort_1	rx_data
0	0	D91	-1472	
1	1	A40	-595	
2	2	DAD	-1857	
3	3	8BF	-526	
4	4	DF2	1408	
5	5	580	-441	
6	6	E47	1471	
7	7	5BF	-280	
8	8	EE8	-1601	
9	9	9BF	-188	
10	10	F44	-194	
11	11	F3E	49	
12	12	031	1790	
13	13	6FE	157	
14	14	09D	1471	
15	15	5BF	406	
16	16	196	641	
17	17	281	764	
18	18	2FC	-1280	
19	19	B00	827	
20	20	33B	702	
21	21	2BE	685	
22	22	2AD	448	
23	23	1C0	895	
24	24	37F	1729	
25	25	6C1	834	
26	26	342	575	
27	27	23F	656	
28	28	290	-896	
29	29	C80	724	
30	30	2D4	-1922	
31	31	87E	559	
32	32	22F	1469	
33	33	5BD	349	
34	34	15D	-1346	
35	35	ABE	258	
36	36	102	-1857	
37	37	8BF	312	
38	38	138	1730	
39	39	6C2	263	
40	40	107	128	
41	41	080	-120	
42	42	F88	-1986	
43	43	83E	-303	
44	44	ED1	2047	
45	45	7FF	-354	
46	46	E9E	448	
47	47	1C0	-567	
48	48	DC9	-1089	
49	49	BBF	-581	
50	50	DBB	-2048	
51	51	800	-734	
52	52	D22	-64	
53	53	FC0	-722	
54	54	D2E	639	
55	55	27F	-714	
56	56	D36	2047	
57	57	7FF	-714	
58	58	D36	-1472	
59	59	A40	-755	
60	60	D0D	-704	
61	61	D40	-657	
62	62	D6F	448	
63	63	1C0	-618	
64	64	D96	-1984	
65	65	840	-512	
66	66	E00	959	
67	67	3BF	-398	
68	68	E72	-65	
69	69	FBF	-220	
70	70	F24	510	
71	71	1FE	-75	
72	72	FB5	-898	
73	73	C7E	37	
74	74	025	-577	
75	75	DBF	268	
76	76	10C	-447	
77	77	E41	689	
78	78	2B1	-1534	
79	79	A02	797	
80	80	31D	-1983	
81	81	841	866	
82	82	362	-2048	
83	83	800	810	
84	84	32A	1919	
85	85	77F	730	
86	86	2DA	319	
87	87	13F	831	
88	88	33F	895	
89	89	37F	745	
90	90	2E9	1281	
